Date,CIPLA.NS,GOLDBEES.NS,INFY.NS,ITC.NS,MARICO.NS,MARUTI.NS,SUNPHARMA.NS,TATAMOTORS.NS,TCS.NS
2020-01-01,462.1769714355469,34.349998474121094,663.5753784179688,201.1142578125,325.7077941894531,7086.818359375,416.1957092285156,183.8769073486328,2008.5828857421875
2020-01-02,459.8462219238281,34.349998474121094,661.6392211914062,202.59239196777344,317.6534118652344,7104.41015625,416.8186340332031,193.14801025390625,1999.3626708984375
2020-01-03,456.3985900878906,35.400001525878906,671.8155517578125,201.4521026611328,315.2041320800781,7031.13525390625,426.06634521484375,190.50625610351562,2039.20849609375
2020-01-06,453.29083251953125,36.150001525878906,665.3766479492188,198.58026123046875,312.519287109375,6825.80078125,421.6102294921875,185.07318115234375,2039.0228271484375
2020-01-07,455.0875244140625,35.5,655.5155029296875,198.7914276123047,313.3671569824219,6856.04150390625,427.79132080078125,184.12612915039062,2044.0272216796875
2020-01-08,451.3485412597656,36.099998474121094,646.7801513671875,197.820068359375,314.16790771484375,6818.82275390625,421.7539367675781,181.98281860351562,2089.80322265625
2020-01-09,456.54425048828125,35.04999923706055,655.2002563476562,199.17152404785156,313.79107666015625,7005.59619140625,421.514404296875,191.40345764160156,2051.9033203125
2020-01-10,459.8462219238281,34.95000076293945,664.7462158203125,201.02976989746094,318.5012512207031,7105.04052734375,425.1080017089844,195.7399444580078,2051.162109375
2020-01-13,463.87652587890625,34.75,696.6259155273438,202.08560180664062,323.5411071777344,7126.5576171875,426.06634521484375,195.64024353027344,2029.6639404296875
2020-01-14,470.2862243652344,34.75,698.5171508789062,205.46426391601562,324.62445068359375,7159.6083984375,427.40802001953125,195.2415008544922,2044.9998779296875
2020-01-15,470.04339599609375,35.04999923706055,691.2225341796875,204.7462921142578,325.4722595214844,7252.80126953125,430.33087158203125,199.72752380371094,2063.532958984375
2020-01-16,466.4015808105469,35.0,690.727294921875,203.3526153564453,328.91064453125,7233.125,430.33087158203125,196.93621826171875,2074.559326171875
2020-01-17,466.45013427734375,34.95000076293945,691.4927368164062,202.67686462402344,329.4288330078125,7288.85693359375,435.64947509765625,196.68699645996094,2056.304931640625
2020-01-20,466.3044128417969,35.22999954223633,692.0330200195312,204.32395935058594,326.0375061035156,7220.4775390625,430.7141418457031,194.39413452148438,2011.13134765625
2020-01-21,459.7490539550781,35.130001068115234,686.6747436523438,201.4098663330078,317.2294616699219,7078.0458984375,428.74957275390625,190.80531311035156,2011.779541015625
2020-01-22,458.0009765625,35.290000915527344,693.6090698242188,201.072021484375,315.2511901855469,6916.134765625,427.6954650878906,185.02334594726562,2044.9998779296875
2020-01-23,451.7369689941406,35.209999084472656,706.3519287109375,200.9453125,313.9794616699219,6927.28076171875,431.0975036621094,187.81463623046875,2034.830078125
2020-01-24,445.6186828613281,35.400001525878906,704.9110717773438,201.15650939941406,320.8092346191406,6909.20458984375,429.1329345703125,185.92054748535156,2027.8173828125
2020-01-27,451.0571594238281,35.849998474121094,700.723388671875,198.15792846679688,318.78387451171875,6928.92822265625,429.7079162597656,181.63389587402344,2014.676513671875
2020-01-28,451.2999572753906,35.720001220703125,700.6334228515625,194.90594482421875,315.67510986328125,6781.845703125,434.0203552246094,175.5528564453125,2028.1431884765625
2020-01-29,448.24078369140625,35.61000061035156,711.1699829101562,199.88946533203125,324.7657165527344,6794.68798828125,431.3370666503906,187.46572875976562,2001.0706787109375
2020-01-30,437.9949951171875,35.93000030517578,703.06494140625,197.693359375,318.1244201660156,6804.5263671875,423.6705627441406,185.62147521972656,1985.5137939453125
2020-01-31,434.01324462890625,35.869998931884766,698.7872314453125,198.62249755859375,297.0699768066406,6700.865234375,416.1957092285156,176.0513153076172,1930.9034423828125
2020-02-03,431.7309875488281,35.90999984741211,691.0875244140625,175.35202026367188,288.82720947265625,6795.65673828125,400.1439514160156,163.34092712402344,1952.682373046875
2020-02-04,435.5185241699219,35.58000183105469,709.5038452148438,182.1515655517578,289.4395446777344,6978.166015625,407.9062805175781,165.18516540527344,1957.55908203125
2020-02-05,434.6445007324219,35.310001373291016,706.5320434570312,182.82728576660156,293.537353515625,6824.34716796875,408.4812927246094,183.17909240722656,1993.5938720703125
2020-02-06,426.9723205566406,35.58000183105469,694.6446533203125,180.37777709960938,291.25262451171875,6805.640625,412.6978759765625,178.2943115234375,1976.69091796875
2020-02-07,430.419921875,35.70000076293945,700.0029296875,180.25106811523438,296.7264404296875,6757.32421875,412.8416442871094,173.0606231689453,1984.3065185546875
2020-02-10,431.92523193359375,35.95000076293945,696.3106689453125,177.84378051757812,293.82293701171875,6680.8994140625,402.779296875,168.37521362304688,2007.896484375
